数据源名称,来源,地区,内容说明,网址
广东省各级学校信息查询,广东省教育厅,广东省,广东省中等职业学校、幼儿园、小学、特殊教育学校、普通高中、普通高等学校、普通初中、工读学校的基本信息查询,http://edu.gd.gov.cn/xuexiaochaxun/list.do?action=index&xxxlb_m=34
海南省教育厅直属单位（中学）,海南省教育厅,海南省,海南省教育厅直属中学网站汇总,http://edu.hainan.gov.cn/edu/index.shtml
陕西省教育厅直属单位,陕西省教育厅,陕西省,陕西省教育厅直属单位名单，含中学,http://jyt.shaanxi.gov.cn/about/zsdw.html
天津市初级中学一览表,天津市教育委员会,天津市,天津市初级中学一览表，同页面还包含高级中学、完全中学、九年一贯制学校、十二年一贯制学校等各级各类学校一览表,https://jy.tj.gov.cn/BMFW/JYZC5803/CJZX6324/
全国高中排名,出国留学网,全国,全国高中排名100强学校一览表，2021全国高中排名100强，全国排名前三十的高中，2020全国前一百所高中排名,https://www.liuxue86.com/k_%E5%85%A8%E5%9B%BD%E9%AB%98%E4%B8%AD%E6%8E%92%E5%90%8D/
2020年全国高中500强排行榜,北京初升高,全国,2020全国500强中学之四大学科竞赛“省一”排行榜,https://mp.weixin.qq.com/s?__biz=MzA4MTU5NTQyOA==&mid=2651542258&idx=3&sn=9a8ddaeabc47170e9f426ef900d2ecbf&chksm=846d6fb9b31ae6afb91ab82ab9d44a3aa532d3cc68caa0da82aa008c4916edd053cda8525ccd&scene=27
2022中国高中排名,个人图书馆,全国,2022中国高中排名,http://www.360doc.com/content/22/0825/13/17747993_1045237937.shtml
全国中学排名,教育百科,全国,2022全国最牛高中排名100强,http://m.edu28.cn/jy/7663.html
学校大全网,学校大全,全国,全国中小学、高中、职业学校、大学高校院校查询,http://www.xuexiaodaquan.com/
校长网校园库,校长网,全国,全国高中、初中、小学院校查询,http://www.xiaozhang.com.cn/school_0_0_0_0_1.html
全国和各省市高中排行,买购网,全国,全国高中排名，各省高中名单等,https://www.maigoo.com/news/487820.html
全国和各省中学口碑排名,我要搜学网,全国,全国和各省中学排名榜，由家长学生打分产生，是学校口碑排名,http://paiming.51sxue.com/t_3.html
全国中学名录,我要搜学网,全国,全国中学名单和相关信息,http://xuexiao.51sxue.com/slist/?t=3&areaCodeS=
中国百强中学排名,中职招生网,全国,全国31省市高中TOP5名单,https://www.wd-purchase.com/zxzx/6652.html
中国十大国际高中学校排名,买购网,全国,中国十大国际高中学校排名,https://www.maigoo.com/top/417099.html
全国16所能保送的外国语学校排行榜,买购网,全国,全国16所能保送的外国语学校排行榜,https://www.maigoo.com/top/419496.html
广东十大高中排行榜,买购网,广东省,广东十大高中排行榜,https://www.maigoo.com/top/400728.html
河南十大高中排行榜,买购网,河南省,河南十大高中排行榜,https://www.maigoo.com/top/402706.html
河南省示范性普通高中名单,河南省教育厅,河南省,河南省各城市示范性普通高中名单，数据源自河南省教育厅，截至2019年12月31日,https://www.maigoo.com/news/485630.html
天津市十大高中排行榜,买购网,天津市,天津市十大高中排行榜,https://www.maigoo.com/top/402702.html
天津市高中名单一览,买购网,天津市,天津市高中名单一览，包括完全中学名单、高级中学名单、十二年一贯制学校名单,https://www.maigoo.com/news/487052.html
云南十大高中排行榜,买购网,云南省,云南十大高中排行榜,https://www.maigoo.com/top/402703.html
重庆市十大高中排行榜,买购网,重庆市,重庆市十大高中排行榜,https://www.maigoo.com/top/400417.html
江苏高中名单一览,买购网,江苏省,江苏十大高中排行，各城市高中名单,https://www.maigoo.com/news/479548.html
江西十大高中排行榜,买购网,江西省,江西十大高中排行榜,https://www.maigoo.com/top/402704.html
江西省重点高中名单一览,买购网,江西省,江西省重点高中名单一览,https://www.maigoo.com/news/486947.html
四川十大高中排行榜,买购网,四川省,四川十大高中排行榜,https://www.maigoo.com/top/402705.html
宁夏最牛的10所高中,买购网,宁夏回族自治区,宁夏最牛的10所高中,https://www.maigoo.com/top/402692.html
上海市十大高中排行榜,买购网,上海市,上海市十大高中排行榜,https://www.maigoo.com/top/410724.html
上海市示范性高中名单一览,买购网,上海市,上海市实验性示范性高中名单，上海市高中名单,https://www.maigoo.com/news/479462.html
湖北省示范性高中名单一览,湖北省教育厅,湖北省,湖北省各城市示范性普通高中名单，数据截至2019年12月31日,https://www.maigoo.com/news/486940.html
辽宁省高中名单一览,买购网,辽宁省,辽宁省高中排行，辽宁省各城市高中名单,https://www.maigoo.com/news/487178.html
新疆十大高中排行榜,买购网,新疆维吾尔自治区,新疆十大高中排行榜,https://www.maigoo.com/top/402683.html
山东十大高中排行榜,买购网,山东省,山东十大高中排行榜,https://www.maigoo.com/top/402700.html
浙江十大高中排行榜,买购网,浙江省,浙江十大高中排行榜,https://www.maigoo.com/top/400730.html
吉林省重点高中名单一览,买购网,吉林省,吉林省各城市重点高中名单,https://www.maigoo.com/news/487183.html
河北十大高中排行榜,买购网,河北省,河北十大高中排行榜,https://www.maigoo.com/top/402601.html
广西示范性普通高中名单,广西壮族自治区教育厅,广西壮族自治区,广西各城市示范性普通高中名单（不含市级重点高中），数据截至2022年8月5日,https://www.maigoo.com/news/486952.html
甘肃十大高中排行榜,买购网,甘肃省,甘肃十大高中排行榜,https://www.maigoo.com/top/400320.html
贵州十大高中排行榜,买购网,贵州省,贵州十大高中排行榜,https://www.maigoo.com/top/402694.html
贵州省高中名单一览,买购网,贵州省,贵州省各城市高中名单一览,https://www.maigoo.com/news/486975.html
山西十大高中排行榜,买购网,山西省,山西十大高中排行榜,https://www.maigoo.com/top/402699.html
黑龙江省高中名单,买购网,黑龙江省,黑龙江十大高中排行榜，黑龙江各城市高中名单,https://www.maigoo.com/news/487160.html
安徽省高中名单,买购网,安徽省,安徽省十大高中排行榜，安徽省各城市重点高中名单,https://www.maigoo.com/news/487824.html
北京市高中名单一览,买购网,北京市,北京十大高中榜单，北京市完全中学名单，北京市高级中学名单，北京市十二年一贯制学校名单,https://www.maigoo.com/news/479460.html
全国各省市地区重点高中前十排名,郁金香,全国,全国各省市地区重点高中前十排名,https://www.yjxdezx.com/b/183089.html
内蒙古重点高中名单及排名,高职招生网,内蒙古自治区,内蒙古重点高中名单及排名,https://www.52souxue.com/plus/view.php?aid=170557
2020青海十大高中排行榜,高职招生网,青海省,2020青海十大高中排行榜,https://www.52souxue.com/plus/view.php?aid=287098
2022年西藏最好的十大高中排名,考试信息网,西藏自治区,2022年西藏最好的十大高中排名,https://m.gdlsgz.com/jiaoyuzixun/zkzx/284500.html
