地区,省份,城市,学校名,省内排名,数据源名称,地域,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
华南地区,广东,中山市,中山纪念中学,4,广东中山纪念中学,广东省 中山市,省重点,公办,中学,中山市南朗镇翠亨村正街,0760-85501869,广东省,中山市,
华南地区,广东,汕头市,汕头潮阳实验学校,5,汕头市潮阳实验学校,广东省 汕头市 潮阳区,省重点,民办,中学,广东省汕头市潮阳区棉北街道城北四路东段,0754-88726528 88722222,广东省,汕头市,潮阳区
华东地区,安徽,合肥市,合肥市第一中学,1,合肥市第一中学,安徽省 合肥市 包河区,省重点,公办,中学,安徽省合肥市滨湖新区西藏路2356号,0551-2911006 180-9663-1182,安徽省,合肥市,包河区
华东地区,安徽,合肥市,合肥一六八中学,2,合肥市一六八中学,安徽省 合肥市 蜀山区,省重点,民办,中学,合肥市经济技术开发区始信路179号/（东校区）淮海大道与新蚌埠路交叉口,0551-3803905,安徽省,合肥市,蜀山区
华东地区,安徽,六安市,六安第一中学,3,安徽省六安第一中学（六安一中）,安徽省 六安市 裕安区,省重点,公办,中学,安徽省六安市解放北路55号,0564-3387519,安徽省,六安市,裕安区
华东地区,安徽,芜湖市,安徽师范大学附属中学,4,安徽师范大学附属中学,安徽省 芜湖市,省重点,公办,中学,安徽省芜湖市银湖南路135号,0553-3832205,安徽省,芜湖市,
华东地区,安徽,马鞍山市,马鞍山市第二中学,5,马鞍山市第二中学（马鞍山二中）,安徽省 马鞍山市 花山区,省重点,公办,中学,安徽省马鞍山市花山区健康路2号,0555--8331030,安徽省,马鞍山市,花山区
华东地区,江苏,南京市,南京外国语学校,1,南京外国语学校,江苏省 南京市 玄武区,省重点,民办,中学,江苏省南京市玄武区北京东路30号,025-84555412,江苏省,南京市,玄武区
华东地区,江苏,南京市,南京外国语学校,1,南京外国语学校,江苏省 南京市 玄武区,市重点,民办,中学,江苏省南京市玄武区北京东路30号,025-83282300,江苏省,南京市,玄武区
华东地区,江苏,南京市,南京师范大学附属中学,2,南京师范大学附属中学,江苏省 南京市 鼓楼区,省重点,公办,中学,南京市鼓楼区察哈尔路37号（校本部）,0527-82898588,江苏省,南京市,鼓楼区
华东地区,江苏,南京市,南京金陵学校,3,南京市金陵中学,江苏省 南京市 鼓楼区,省重点,公办,中学,江苏省南京市鼓楼区中山路169号,025-84786227  025-84786296,江苏省,南京市,鼓楼区
华东地区,江苏,苏州市,江苏省苏州中学,4,江苏省苏州中学,江苏省 苏州市 沧浪区,省重点,公办,中学,江苏省苏州市人民路699号,0512-65194261  0512-65195262,江苏省,苏州市,沧浪区
华东地区,江苏,扬州市,江苏省扬州中学,5,江苏省扬州中学,江苏省 扬州市,省重点,公办,中学,江苏省扬州市淮海路13号,0514-87361280 0514-87310839 0514-87361276,江苏省,扬州市,
华东地区,山东,济南市,山东省实验中学,1,山东省实验中学,山东省 济南市 市中区,省重点,公办,中学,山东省济南市市中区经七路73号,0531-86926496 18243000924,山东省,济南市,市中区
华东地区,山东,青岛市,青岛第二中学,2,青岛第二中学（青岛二中）,山东省 青岛市 崂山区,省重点,公办,中学,山东省青岛市崂山区松岭路70号,0532-88907255,山东省,青岛市,崂山区
华东地区,山东,济南市,山东师范大学附属中学,3,山东师范大学附属中学（山师附中）,山东省 济南市 历下区,省重点,公办,中学,山东省济南市历下区山师北街3号,0531-86187151,山东省,济南市,历下区
华东地区,山东,济南市,济南市历城第二中学,4,济南市历城第二中学（历城二中）,山东省 济南市 历城区,省重点,公办,中学,山东省济南市历城区董家843号,0531－88722886,山东省,济南市,历城区
华东地区,山东,滕州市,滕州市第一中学,5,枣庄市滕州第一中学（滕州一中）,山东省 枣庄市 滕州市,省重点,公办,中学,山东省枣庄市滕州市新兴路156号 学院中路669号,0632-5513445,山东省,枣庄市,滕州市
华东地区,福建,福州市,福州第一中学,1,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
华东地区,福建,厦门市,厦门双十中学,2,厦门市双十中学,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市镇海路33号/厦门市湖里区枋湖路789,0592-2117888,福建省,厦门市,思明区
华东地区,福建,厦门市,厦门第一中学,3,厦门市第一中学高中（厦门一中高中）,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市思明区文园路93号,0592-2021908,福建省,厦门市,思明区
华东地区,福建,泉州市,泉州市第五中学,4,泉州五中,福建省 泉州市,普通,公办,中学,福建省泉州市桂坛巷49号,,福建省,泉州市,
华北地区,山东,枣庄市,滕州市第一中学,5,,山东省 枣庄市 滕州市,,,中学,山东省枣庄市滕州市学院东路669号,(0632)5513445,山东省,枣庄市,滕州市
华东地区,江西,抚州市,临川第一中学,1,江西省临川第一中学（临川一中）,江西省 抚州市 临川区,省重点,公办,中学,江西省抚州市临川区上顿渡镇建设路205号,0794-8441447   0794-8430071,江西省,抚州市,临川区
华东地区,江西,南昌市,江西师范大学附属中学,2,江西师范大学附属中学（师大附中）（初中）,江西省 南昌市 青山湖区,省重点,公办,中学,江西省南昌市青山湖区北京西路194号,0791-8507088,江西省,南昌市,青山湖区
华东地区,江西,抚州市,临川第二中学,3,江西省临川第二中学,江西省 抚州市 临川区,省重点,公办,中学,江西省抚州临川区上顿渡镇龙津路67号,0794-8441448,江西省,抚州市,临川区
华东地区,江西,南昌市,南昌县莲塘第一中学,4,江西省南昌县莲塘第一中学（莲塘一中）,江西省 南昌市 南昌县,省重点,公办,中学,江西省南昌县莲塘镇澄湖西路1566号,0791-85761902,江西省,南昌市,南昌县
华东地区,江西,景德镇市,景德镇第一中学,5,景德镇第一中学（景德镇一中）,江西省 景德镇市,省重点,公办,中学,江西省景德镇市天翼路66号,（0798）8441380,江西省,景德镇市,
华东地区,上海,徐汇区,上海中学,1,上海中学,上海市 闵行区,全国重点,公办,中学,上海市百色路989号（南大门：上中路400号）,021-64100430 64554819,上海市,上海市,闵行区
华东地区,上海,浦东区,华东师范大学第二附中,2,华东师范大学第二附属中学（华师大二附中）,上海市 浦东新区,市重点,公办,中学,上海市浦东新区张江镇晨晖路555号（近地铁二号线张江高科站）,021-50801890,上海市,上海市,浦东新区
华东地区,上海,杨浦区,复旦大学附属中学,3,复旦大学附属中学,上海市 杨浦区,市重点,公办,中学,上海市杨浦区国权路383号,021-65640560,上海市,上海市,杨浦区
华东地区,上海,杨浦区,上海交通大学附属中学,4,,上海市 宝山区,,,中学,上海市宝山区殷高路42号,,上海市,上海市,宝山区
华东地区,上海,虹口区,上海外国语大学附属外国语学校,5,上海外国语大学附属外国语学校,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
华东地区,上海,虹口区,上海外国语大学附属外国语学校,5,上海外国语大学附属外国语学校,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
华东地区,浙江,宁波市,宁波市镇海中学,1,宁波市镇海中学,浙江省 宁波市 镇海区,省重点,公办,中学,浙江省宁波市镇海区鼓楼东路32号,0574-86272378,浙江省,宁波市,镇海区
华东地区,浙江,杭州市,杭州第二中学,2,杭州市第二中学东河校区,浙江省 杭州市 上城区,省重点,公办,中学,杭州市建国中路36号,0571-87072869,浙江省,杭州市,上城区
华东地区,浙江,杭州市,杭州学军中学,3,杭州市学军中学,浙江省 杭州市 西湖区,省重点,公办,中学,浙江省杭州市文三路188号,0571-88088529  0571-88052280,浙江省,杭州市,西湖区
华东地区,浙江,温州市,温州乐成寄宿中学,4,乐清乐成公立寄宿学校,浙江省 温州市 乐清市,市重点,公办,中学,浙江省温州市乐清市城南街道朋岙村,0577-27882222 27886111 27886101,浙江省,温州市,乐清市
华东地区,浙江,温州市,温州中学,5,浙江省温州中学,浙江省 温州市 瓯海区,省重点,公办,中学,浙江省温州市瓯海区梧田大道2号,0577-86760802　,浙江省,温州市,瓯海区
华中地区,河南,郑州市,郑州外国语学校,1,郑州外国语学校,河南省 郑州市 高新区,省重点,公办,中学,河南省郑州市高新技术开发区枫杨街与银屏路交叉口,0371-7987877 0371-67998111,河南省,郑州市,高新区
华中地区,河南,郑州市,郑州市第一中学,2,郑州市第一中学（郑州一中）,河南省 郑州市 中原区,省重点,公办,中学,郑州市中原西路182号,0371-67882208,河南省,郑州市,中原区
华中地区,河南,郑州市,河南省实验中学,3,河南省实验中学,河南省 郑州市 金水区,省重点,公办,中学,河南省郑州市金水区农业路10号（河南博物院西200米）,0371-63943667,河南省,郑州市,金水区
华中地区,河南,南阳市,南阳市第一中学,4,南阳市第一中学（南阳一中）,河南省 南阳市,省重点,公办,中学,河南省南阳市建设东路1366号,0377-63035139,河南省,南阳市,
华中地区,河南,郑州市,河南师范大学附属中学,5,河南师范大学附属中学,河南省 新乡市,省重点,公办,中学,河南省新乡市建设路164号,0373-3383049,河南省,新乡市,
华中地区,湖南,长沙市,长沙市长郡中学,1,长沙市长郡中学,湖南省 长沙市,省重点,公办,中学,长沙市黄兴南路309号,0731-5815387  邮编：410002　地址：长沙市黄兴南路309号,湖南省,长沙市,
华中地区,湖南,长沙市,长沙市雅礼中学,2,长沙市雅礼中学,湖南省 长沙市 雨花区,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区
华中地区,湖南,长沙市,湖南师范大学附属中学,3,湖南师范大学附属中学,湖南省 长沙市 岳麓区,省重点,公办,中学,湖南长沙岳麓区桃子湖路48号,0731-88885855、88886669、88882315,湖南省,长沙市,岳麓区
华中地区,湖南,长沙市,湖南师范大学附属中学,3,湖南师范大学附属中学,湖南省 长沙市 岳麓区,普通,民办,中学,湖南长沙岳麓区桃子湖路48号,,湖南省,长沙市,岳麓区
华中地区,湖南,长沙市,长沙市第一中学,4,长沙市第一中学,湖南省 长沙市 开福区,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区
华中地区,湖南,长沙市,长沙市明德中学,5,长沙明德中学,湖南省 长沙市 天心区,省重点,公办,中学,湖南省长沙市天心区新韶西路豹子岭　,0731-88237799　,湖南省,长沙市,天心区
华中地区,湖北,武汉市,华中师范大学第一附中,1,湖北华中师范大学第一附属中学（华中师大一附中）,湖北省 武汉市 武昌区,全国重点,公办,中学,湖北省武汉市东湖高新技术开发区汤逊湖北路特1号,027-87920655,湖北省,武汉市,武昌区
华中地区,湖北,武汉市,武汉市第二中学,2,武汉市第二中学,湖北省 武汉市 江岸区,省重点,公办,中学,武汉市中山大道1469号,027-83801823,湖北省,武汉市,江岸区
华中地区,湖北,武汉市,武汉外国语学校,3,武汉外国语学校,湖北省 武汉市 江汉区,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区
华中地区,湖北,襄阳市,襄阳市第五中学,4,襄阳五中,湖北省 襄阳市 襄州区,省重点,公办,中学,湖北省襄阳市高新区邓城大道66号,0710-3530727,湖北省,襄阳市,襄州区
华中地区,湖北,襄阳市,襄阳市第四中学,5,襄阳市第四中学,湖北省 襄阳市 襄州区,省重点,公办,中学,湖北省襄阳市襄城东街26号,0710-3511057（校办） 0710-3553666（招办）,湖北省,襄阳市,襄州区
华北地区,山西,太原,山西大学附属中学,1,山西大学附属中学,山西省 太原市 小店区,省重点,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区
华北地区,山西,太原,山西大学附属中学,1,山西大学附属中学,山西省 太原市 小店区,普通,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区
华北地区,山西,太原,山西省实验中学,2,山西省实验中学（太原市第十中学）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市晋阳街201号,0351-7897022,山西省,太原市,小店区
华北地区,山西,太原,太原市第五中学,3,太原市第五中学（太原五中）,山西省 太原市 迎泽区,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区
华北地区,山西,运城市,康杰中学,4,山西省运城市康杰中学,山西省 运城市,省重点,公办,中学,山西省运城市空港新区康杰北路10号,0359-2576010,山西省,运城市,
华北地区,山西,忻州市,忻州第一中学,5,忻州市第一中学（忻州一中）,山西省 忻州市 忻府区,省重点,公办,中学,山西省忻州市忻府区和平街8号,0350-3025377,山西省,忻州市,忻府区
华北地区,内蒙古,呼和浩特市,呼和浩特市第二中学,1,呼和浩特市第二中学,内蒙古 呼和浩特市,省重点,公办,中学,内蒙古呼和浩特市呼伦南路1号,0471-6920044,内蒙古,呼和浩特市,
华北地区,内蒙古,鄂尔多斯市,鄂尔多斯市第一中学,2,鄂尔多斯市第一中学（鄂尔多斯市一中）,内蒙古 鄂尔多斯市,市重点,公办,中学,内蒙古鄂尔多斯市康巴什新区鄂尔多斯大街,0477-8390606,内蒙古,鄂尔多斯市,
华北地区,内蒙古,包头市,包头市第九中学,3,包头市第九中学,内蒙古 包头市 ,省重点,公办,中学,内蒙古包头市昆区乌兰道17号,0472-2124402,内蒙古,包头市,
华北地区,内蒙古,赤峰市,平煤高级中学,4,平煤高级中学,内蒙古 赤峰市,市重点,公办,中学,内蒙古赤峰市煤城平庄,0476—3512143,内蒙古,赤峰市,
华北地区,内蒙古,赤峰市,赤峰市第二中学,5,赤峰市第二中学（赤峰二中）,内蒙古 赤峰市,市重点,公办,中学,内蒙古赤峰新城区玉龙大街西段,0476-8821920,内蒙古,赤峰市,
华北地区,北京,海淀区,人民大学附属中学,1,中国人民大学附属中学（人大附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区
华北地区,北京,西城区,北京市第四中学,2,北京市第四中学,北京市 西城区,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区
华北地区,北京,西城区,北京师范大学附属中学,3,北京师范大学附属中学,北京市 西城区,省重点,公办,中学,北京市西城区南新华街18号,010-63014680-207,北京市,北京市,西城区
华北地区,北京,西城区,北京师范大学第二附中,4,北师大二附中,北京市 西城区,市重点,公办,中学,北京市西城区新街口外大街12号,010-62042244,北京市,北京市,西城区
华北地区,北京,海淀区,清华大学附属中学,5,清华大学附属中学,北京市 海淀区,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区
华北地区,天津,南开区,天津市南开中学,1,天津市南开中学,天津市 南开区,全国重点,公办,中学,天津市南开区南开四马路22号,022—27483391,天津市,天津市,南开区
华北地区,天津,和平区,天津市耀华中学,2,天津市耀华中学,天津市 和平区,全国重点,公办,中学,天津市和平区南京路106号,022-23394521,天津市,天津市,和平区
华北地区,天津,和平区,天津市第一中学,3,天津市第一中学,天津市 和平区,市重点,公办,中学,天津市和平区西安道117号,022-23391126,天津市,天津市,和平区
华北地区,天津,河西区,天津市新华中学,4,天津新华中学,天津市 河西区,全国重点,公办,中学,天津市河西区马场道99号,022-23288278,天津市,天津市,河西区
华北地区,天津,河西区,天津市实验中学,5,天津市实验中学,天津市 河西区,全国重点,公办,中学,天津市河西区平山道1号,022-23358689,天津市,天津市,河西区
华北地区,河北,衡水市,河北衡水中学,1,河北衡水中学,河北省 衡水市 桃城区,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区
华北地区,河北,石家庄市,石家庄市第二中学,2,石家庄市第二中学,河北省 石家庄市 新华区,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区
华北地区,河北,衡水市,衡水市第二中学,3,衡水市第二中学,河北省 衡水市,省重点,公办,中学,河北省衡水市问津北街98号/衡水市新华西路256号,0318-2135271 2817707,河北省,衡水市,
华北地区,河北,石家庄市,河北正定中学,4,河北正定中学,河北省 石家庄市 正定县,省重点,公办,中学,河北省正定县正定镇府西街80号,0311--8022837,河北省,石家庄市,正定县
华北地区,河北,唐山市,唐山市第一中学,5,唐山市第一中学（唐山一中）,河北省 唐山市 路北区,省重点,公办,中学,河北省唐山市路南区友谊路2号,0315-2595128,河北省,唐山市,路北区
