集团名称,集团类型,主管机构,牵头单位,成员名称,成员类型,黑色数据来源,成员数据来源,链接,其他备注
东莞市道滘镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇中心幼儿园,东莞市道滘镇昌平幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘镇闸口幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘太阳光幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘大罗沙幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇济川幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇济川幼儿园,东莞市道滘贝比兔幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市长安镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市长安镇中心幼儿园,东莞市长安镇实验幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市长安镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市长安镇中心幼儿园,东莞市长安镇乌沙幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市樟木头镇蓓蕾幼儿园教育集团,基础教育,广东省，东莞市,东莞市樟木头镇蓓蕾幼儿园,东莞市樟木头镇第一幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市樟木头镇蓓蕾幼儿园教育集团,基础教育,广东省，东莞市,东莞市樟木头镇蓓蕾幼儿园,东莞市樟木头新城市幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦镇清湖头幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦东东幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦新东方幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦美心幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市凤岗镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市凤岗镇中心幼儿园,东莞市凤岗镇第一幼儿园,幼儿园,当地教育厅或政府公告,,,
丹东市实验小学教育集团,基础教育,辽宁省，丹东市,,,小学,当地教育厅或政府公告,,,
丹东三幼教育集团,基础教育,辽宁省，丹东市,,,幼儿园,当地教育厅或政府公告,,,
丹东五中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东六中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东十三中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东十七中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东十九中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东一中教育集团,基础教育,辽宁省，丹东市,,,高中,当地教育厅或政府公告,,,
丹东二中教育集团,基础教育,辽宁省，丹东市,,,高中,当地教育厅或政府公告,,,
丹东四中教育集团,基础教育,辽宁省，丹东市,,,高中,当地教育厅或政府公告,,,
丹东朝中教育集团,基础教育,辽宁省，丹东市,,,中学,当地教育厅或政府公告,,,
临安区天目学前教育集团,基础教育,浙江省，杭州市,,锦城中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区天目学前教育集团,基础教育,浙江省，杭州市,,锦城中心幼儿园春天园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道学前教育集团,基础教育,浙江省，杭州市,,锦城街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道学前教育集团,基础教育,浙江省，杭州市,,锦城街道中心幼儿园临安人家园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道学前教育集团,基础教育,浙江省，杭州市,,锦城街道中心幼儿园公园城园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道新城学前教育集团,基础教育,浙江省，杭州市,,锦城街道新城幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道新城学前教育集团,基础教育,浙江省，杭州市,,锦城街道新城幼儿园优樾府园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园吴越人家园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园潘山园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园清煦里园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道马溪学前教育集团,基础教育,浙江省，杭州市,,锦北街道马溪幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道马溪学前教育集团,基础教育,浙江省，杭州市,,锦北街道马溪幼儿园苕溪园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道马溪学前教育集团,基础教育,浙江省，杭州市,,锦北街道马溪幼儿园宝龙园区,幼儿园,当地教育厅或政府公告,,,
临安区锦南街道学前教育集团,基础教育,浙江省，杭州市,,锦南街道中心幼儿园御城园区,幼儿园,当地教育厅或政府公告,,,
临安区锦南街道学前教育集团,基础教育,浙江省，杭州市,,锦南街道中心幼儿园上畔园区,幼儿园,当地教育厅或政府公告,,,
临安区锦南街道学前教育集团,基础教育,浙江省，杭州市,,锦南街道中心幼儿园吴越府园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园高坎园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园夏禹桥园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园大山园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道启恒学前教育集团,基础教育,浙江省，杭州市,,玲珑街道启恒幼儿园本部园区国,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道启恒学前教育集团,基础教育,浙江省，杭州市,,玲珑街道启恒幼儿园左邻右里园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道启恒学前教育集团,基础教育,浙江省，杭州市,,玲珑街道启恒幼儿园文景园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道学前教育集团,基础教育,浙江省，杭州市,,青山湖街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道学前教育集团,基础教育,浙江省，杭州市,,青山湖街道中心幼儿园大园新城园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道学前教育集团,基础教育,浙江省，杭州市,,青山湖街道中心幼儿园杭氧和院园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道星汇学前教育集团,基础教育,浙江省，杭州市,,青山湖街道星汇幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道星汇学前教育集团,基础教育,浙江省，杭州市,,青山湖街道星汇幼儿园中天珺府园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道横畈学前教育集团,基础教育,浙江省，杭州市,,青山湖街道横畈幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道横畈学前教育集团,基础教育,浙江省，杭州市,,青山湖街道横畈幼儿园潘洪园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道横畈学前教育集团,基础教育,浙江省，杭州市,,青山湖街道横畈幼儿园庆北园区,幼儿园,当地教育厅或政府公告,,,
临安区太湖源镇学前教育集团,基础教育,浙江省，杭州市,,太湖源镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区太湖源镇学前教育集团,基础教育,浙江省，杭州市,,太湖源镇中心幼儿园临目教学点,幼儿园,当地教育厅或政府公告,,,
临安区太湖源镇学前教育集团,基础教育,浙江省，杭州市,,太湖源镇中心幼儿园杨岭园区,幼儿园,当地教育厅或政府公告,,,
临安区板桥镇学前教育集团,基础教育,浙江省，杭州市,,板桥镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区板桥镇学前教育集团,基础教育,浙江省，杭州市,,板桥镇中心幼儿园三口园区,幼儿园,当地教育厅或政府公告,,,
临安区高虹镇学前教育集团,基础教育,浙江省，杭州市,,高虹镇中心幼儿园福胜园区,幼儿园,当地教育厅或政府公告,,,
临安区高虹镇学前教育集团,基础教育,浙江省，杭州市,,高虹镇中心幼儿园德胜园区,幼儿园,当地教育厅或政府公告,,,
临安区高虹镇学前教育集团,基础教育,浙江省，杭州市,,高虹镇中心幼儿园高乐园区,幼儿园,当地教育厅或政府公告,,,
临安区於潜镇学前教育集团,基础教育,浙江省，杭州市,,於潜镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区於潜镇学前教育集团,基础教育,浙江省，杭州市,,於潜镇中心幼儿园方元园区,幼儿园,当地教育厅或政府公告,,,
临安区於潜镇学前教育集团,基础教育,浙江省，杭州市,,於潜镇中心幼儿园绍鲁园区,幼儿园,当地教育厅或政府公告,,,
临安区於潜镇学前教育集团,基础教育,浙江省，杭州市,,於潜镇中心幼儿园凌口园区,幼儿园,当地教育厅或政府公告,,,
临安区於潜镇学前教育集团,基础教育,浙江省，杭州市,,於潜镇中心幼儿园堰口教学点,幼儿园,当地教育厅或政府公告,,,
临安区於潜镇学前教育集团,基础教育,浙江省，杭州市,,於潜镇中心幼儿园潜阳园区,幼儿园,当地教育厅或政府公告,,,
临安区潜川镇学前教育集团,基础教育,浙江省，杭州市,,潜川镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区潜川镇学前教育集团,基础教育,浙江省，杭州市,,潜川镇中心幼儿园乐平园区,幼儿园,当地教育厅或政府公告,,,
临安区太阳镇学前教育集团,基础教育,浙江省，杭州市,,太阳镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区太阳镇学前教育集团,基础教育,浙江省，杭州市,,太阳镇中心幼儿园横路园区,幼儿园,当地教育厅或政府公告,,,
临安区太阳镇学前教育集团,基础教育,浙江省，杭州市,,太阳镇中心幼儿园景村园区,幼儿园,当地教育厅或政府公告,,,
临安区天目山镇学前教育集团,基础教育,浙江省，杭州市,,天目山镇中心幼儿园藻溪园区,幼儿园,当地教育厅或政府公告,,,
临安区天目山镇学前教育集团,基础教育,浙江省，杭州市,,天目山镇中心幼儿园西天目园区,幼儿园,当地教育厅或政府公告,,,
临安区昌化镇学前教育集团,基础教育,浙江省，杭州市,,昌化镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区昌化镇学前教育集团,基础教育,浙江省，杭州市,,昌化镇中心幼儿园西街园区,幼儿园,当地教育厅或政府公告,,,
临安区昌化镇学前教育集团,基础教育,浙江省，杭州市,,昌化镇中心幼儿园东街园区,幼儿园,当地教育厅或政府公告,,,
临安区昌化镇学前教育集团,基础教育,浙江省，杭州市,,昌化镇中心幼儿园白牛园区,幼儿园,当地教育厅或政府公告,,,
临安区河桥镇学前教育集团,基础教育,浙江省，杭州市,,河桥镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区河桥镇学前教育集团,基础教育,浙江省，杭州市,,河桥镇中心幼儿园石瑞教学点,幼儿园,当地教育厅或政府公告,,,
临安区湍口镇学前教育集团,基础教育,浙江省，杭州市,,湍口镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区湍口镇学前教育集团,基础教育,浙江省，杭州市,,湍口镇中心幼儿园洪岭教学点,幼儿园,当地教育厅或政府公告,,,
临安区龙岗镇学前教育集团,基础教育,浙江省，杭州市,,龙岗镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区龙岗镇学前教育集团,基础教育,浙江省，杭州市,,龙岗镇中心幼儿园大峡谷教学点,幼儿园,当地教育厅或政府公告,,,
临安区龙岗镇学前教育集团,基础教育,浙江省，杭州市,,龙岗镇中心幼儿园上溪园区,幼儿园,当地教育厅或政府公告,,,
临安区清凉峰镇学前教育集团,基础教育,浙江省，杭州市,,清凉峰镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区清凉峰镇学前教育集团,基础教育,浙江省，杭州市,,清凉峰镇中心幼儿园马啸园区,幼儿园,当地教育厅或政府公告,,,
临安区岛石镇学前教育集团,基础教育,浙江省，杭州市,,岛石镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区岛石镇学前教育集团,基础教育,浙江省，杭州市,,岛石镇中心幼儿园呼日教学点,幼儿园,当地教育厅或政府公告,,,
临安区岛石镇学前教育集团,基础教育,浙江省，杭州市,,岛石镇中心幼儿园仁里教学点,幼儿园,当地教育厅或政府公告,,,
临安区天阳学前教育集团,基础教育,浙江省，杭州市,,天阳幼儿园幼儿部,幼儿园,当地教育厅或政府公告,,,
临安区天阳学前教育集团,基础教育,浙江省，杭州市,,天阳幼儿园娃娃部,幼儿园,当地教育厅或政府公告,,,
临安区江南学前教育集团,基础教育,浙江省，杭州市,,江南幼儿园江南园区,幼儿园,当地教育厅或政府公告,,,
临安区江南学前教育集团,基础教育,浙江省，杭州市,,江南幼儿园锦绣科技园区,幼儿园,当地教育厅或政府公告,,,
临安区锦都学前教育集团,基础教育,浙江省，杭州市,,锦都嘉园幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区锦都学前教育集团,基础教育,浙江省，杭州市,,大风车幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区七色花学前教育集团,基础教育,浙江省，杭州市,,七色花幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区七色花学前教育集团,基础教育,浙江省，杭州市,,西墅幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区烽晟学前教育集团,基础教育,浙江省，杭州市,,吉的堡幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区烽晟学前教育集团,基础教育,浙江省，杭州市,,钱王幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区烽晟学前教育集团,基础教育,浙江省，杭州市,,贝多芬幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区烽晟学前教育集团,基础教育,浙江省，杭州市,,燕东园幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区烽晟学前教育集团,基础教育,浙江省，杭州市,,烽晟幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区ABC学前教育集团,基础教育,浙江省，杭州市,,ABC幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区ABC学前教育集团,基础教育,浙江省，杭州市,,ABC幼儿园横街园区,幼儿园,当地教育厅或政府公告,,,
临安区启星学前教育集团,基础教育,浙江省，杭州市,,石镜幼儿园,幼儿园,当地教育厅或政府公告,,,
临安区启星学前教育集团,基础教育,浙江省，杭州市,,筑境花园幼儿园,幼儿园,当地教育厅或政府公告,,,
广州二中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州实验教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市海珠区第二实验小学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广铁一中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州体育东教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广东番禺中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州执信中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州华阳教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州培英教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广东广雅教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州幼师学前教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州外国语学校教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广东仲元中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市真光教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州五中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市玉岩教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州十六中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市南沙区南沙小学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市南武教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州一中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市南海中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
深圳市宝安中学（集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳高级中学（集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市南山外国语学校（集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市蛇口育才教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市南山实验教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市福田区红岭中学（红岭教育集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市南山区第二外国语学校（集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市福田区荔园小学（荔园教育集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市福田区实验教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳大学附属教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市新安中学（集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市宝安幼教集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市螺岭教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市龙岗区外国语学校（集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市罗湖区教工幼教集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市罗湖区清秀幼教集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市龙华区民治中学教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
