集团名称,集团类型,主管机构,牵头单位,成员名称,成员类型,黑色数据来源,成员数据来源,链接,其他备注
南方科技大学教育集团（南山）,基础教育,广东省,,,,当地教育厅或政府公告,,,
汕头经济特区中心幼儿园幼教集团,基础教育,广东省，汕头市,,,,当地教育厅或政府公告,,,
汕头市东厦小学教育集团,基础教育,广东省，汕头市,,,,当地教育厅或政府公告,,,
汕头市龙湖区金阳学校教育集团,基础教育,广东省，汕头市,,,,当地教育厅或政府公告,,,
汕头经济特区林百欣中学教育集团,基础教育,广东省，汕头市,,,,当地教育厅或政府公告,,,
佛山石门教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
佛山市南海区狮山高级中学体育特色教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
佛山市南海区大沥教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
佛山市顺德区西山教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
佛山市禅城区明珠幼儿园教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
佛山市南海区西樵镇中心幼儿园教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
顺德一中教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
惠州市机关第一幼儿园教育集团,基础教育,广东省，惠州市,,,,当地教育厅或政府公告,,,
东莞松山湖中心小学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞中学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞市莞城中心小学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞中学初中部教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞市厚街镇前进小学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞市松山湖无痕教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞中学松山湖学校教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞市茶山中学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
东莞市可园中学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
中山一中教育集团,基础教育,广东省，中山市,,,,当地教育厅或政府公告,,,
台山市第一中学教育集团,基础教育,广东省，台中市,,,,当地教育厅或政府公告,,,
江门市范罗冈小学教育集团,基础教育,广东省，江门市,,,,当地教育厅或政府公告,,,
江门市紫茶小学教育集团,基础教育,广东省，江门市,,,,当地教育厅或政府公告,,,
江门市新会圭峰小学教育集团,基础教育,广东省，江门市,,,,当地教育厅或政府公告,,,
江门市第一幼儿园教育集团,基础教育,广东省，江门市,,,,当地教育厅或政府公告,,,
广东肇庆中学教育集团,基础教育,广东省，肇庆市,,,,当地教育厅或政府公告,,,
肇庆第十六小学教育集团,基础教育,广东省，肇庆市,,,,当地教育厅或政府公告,,,
肇庆奥威斯实验小学教育集团,基础教育,广东省，肇庆市,,,,当地教育厅或政府公告,,,
肇庆市第一中学教育集团,基础教育,广东省，肇庆市,,,,当地教育厅或政府公告,,,
韩山师范学院实验学校教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
广东实验中学教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
广州市南沙区金隆小学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市黄埔区怡园教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市增城区诚善教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市第七中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广大附中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州六中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市六十五中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市天河外国语教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州市第八十六中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
培正教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
广州市花都区秀全中学教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
广州四中教育集团,基础教育,广东省，广州市,,,,当地教育厅或政府公告,,,
西外教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
广东第二师范学院实验教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
深圳市坪山区第一幼教集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
珠海市第一中学教育集团,基础教育,广东省，珠海市,,,,当地教育厅或政府公告,,,
汕头市龙湖区金珠小学教育集团,基础教育,广东省，汕头市,,,,当地教育厅或政府公告,,,
佛山市南海区桂城学前教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
始兴县实验小学教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
河源市第三小学教育集团,基础教育,广东省，河源市,,,,当地教育厅或政府公告,,,
兴宁市第一中学教育集团,基础教育,广东省，兴宁市,,,,当地教育厅或政府公告,,,
东莞市大朗镇中心小学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
中山市华侨中学教育集团,基础教育,广东省，中山市,,,,当地教育厅或政府公告,,,
鹤山市沙坪街道第一小学教育集团,基础教育,广东省，鹤山市,,,,当地教育厅或政府公告,,,
湛江二中教育集团,基础教育,广东省，湛江市,,,,当地教育厅或政府公告,,,
茂名市愉园教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
肇庆实验幼儿园教育集团,基础教育,广东省，肇庆市,,,,当地教育厅或政府公告,,,
揭阳岐山教育集团,基础教育,广东省，揭阳市,,,,当地教育厅或政府公告,,,
深圳市龙华区实验幼教集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
汕头市龙湖区金涛小学教育集团,基础教育,广东省，汕头市,,,,当地教育厅或政府公告,,,
佛山市南海区西樵镇飞鸿教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
兴宁市实验学校教育集团,基础教育,广东省，兴宁市,,,,当地教育厅或政府公告,,,
东莞市松山湖实验中学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
江门市江华小学教育集团,基础教育,广东省，江门市,,,,当地教育厅或政府公告,,,
高州附一小教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
肇庆市第十五小学教育集团,基础教育,广东省，肇庆市,,,,当地教育厅或政府公告,,,
深圳市龙华区教科院幼教集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
汕头市下蓬中学教育集团,基础教育,广东省，汕头市,,,,当地教育厅或政府公告,,,
佛山市南海区九江镇中教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
东莞市常平镇振兴中学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
台山市台城第二小学教育集团,基础教育,广东省，台山市,,,,当地教育厅或政府公告,,,
怀集县实验小学教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
深圳市罗湖区托幼幼教集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
广东第二师范学院龙湖附属中学教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
佛山市南海区艺术高中美育特色教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
东莞市第一中学教育集团,基础教育,广东省，东莞市,,,,当地教育厅或政府公告,,,
江门市陈白沙教育集团,基础教育,广东省，江门市,,,,当地教育厅或政府公告,,,
深圳市锦田教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
佛山市顺德区青云教育集团,基础教育,广东省，佛山市,,,,当地教育厅或政府公告,,,
鹤山市第一中学教育集团,基础教育,广东省，鹤山市,,,,当地教育厅或政府公告,,,
荔园外国语教育集团,基础教育,广东省,,,,当地教育厅或政府公告,,,
深圳市南山区文理实验学校（集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳实验教育集团,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
深圳市龙岗区龙城高级中学（教育集团）,基础教育,广东省，深圳市,,,,当地教育厅或政府公告,,,
江门市新会第一中学教育集团,基础教育,广东省，江门市,,,,当地教育厅或政府公告,,,
郑州市金水区文化路第一小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市第五十七中学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市第二初级中学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市第四初级中学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市金水区艺术小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州师范学院附属小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市第九十六中学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市郑东新区昆丽河教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市金水区文化绿城小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市中原区互助路小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州龙门实验学校教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市二七区陇西小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市惠济区实验小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市金水区纬五路第一小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州大学实验小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州市管城回族区创新街小学教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
郑州一中国际航空港实验学校教育集团,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
“向阳花”教育发展共同体,基础教育,河南省，郑州市,,,,当地教育厅或政府公告,,,
开封市金明中小学教育集团,基础教育,河南省，开封市,,,,当地教育厅或政府公告,,,
开封市第一师范附属小学教育集团,基础教育,河南省，开封市,,,,当地教育厅或政府公告,,,
开封市第十三中学教育集团,基础教育,河南省，开封市,,,,当地教育厅或政府公告,,,
开封市第十四中学教育集团,基础教育,河南省，开封市,,,,当地教育厅或政府公告,,,
开封市第二师范附属小学教育集团,基础教育,河南省，开封市,,,,当地教育厅或政府公告,,,
洛阳市实验小学教育集团,基础教育,河南省，洛阳市,,,,当地教育厅或政府公告,,,
北京第二实验小学洛阳分校教育集团,基础教育,河南省，洛阳市,,,,当地教育厅或政府公告,,,
汝阳县外国语小学教育集团,基础教育,河南省，洛阳市,,,,当地教育厅或政府公告,,,
伊川县西场学校教育集团,基础教育,河南省，洛阳市,,,,当地教育厅或政府公告,,,
伊川县实验小学教育集团,基础教育,河南省，洛阳市,,,,当地教育厅或政府公告,,,
洛阳市偃师区实验小学教育集团,基础教育,河南省，洛阳市,,,,当地教育厅或政府公告,,,
洛阳市瀍河回族区第一实验小学教育集团,基础教育,河南省，洛阳市,,,,当地教育厅或政府公告,,,
平顶山市三六联校教育集团,基础教育,河南省，平顶山市,,,,当地教育厅或政府公告,,,
平顶山市新华区胜利街乐福联校,基础教育,河南省，平顶山市,,,,当地教育厅或政府公告,,,
安阳市人民大道小学教育集团,基础教育,河南省，安阳市,,,,当地教育厅或政府公告,,,
安阳市铁西路小学教育集团,基础教育,河南省，安阳市,,,,当地教育厅或政府公告,,,
林州市第二实验小学教育集团,基础教育,河南省，安阳市,,,,当地教育厅或政府公告,,,
安阳市八中教育集团,基础教育,河南省，安阳市,,,,当地教育厅或政府公告,,,
鹤壁市淇滨区嵩山小学教育共同体,基础教育,河南省，鹤壁市,,,,当地教育厅或政府公告,,,
鹤壁市淇滨区湘江中学教育集团,基础教育,河南省，鹤壁市,,,,当地教育厅或政府公告,,,
新乡市第十中学教育联盟共同体,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
新乡市红旗区和平教育集团,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
新乡市卫滨区人民路小学办学联合体,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
获嘉县第一初级中学教育集团,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
新乡市第一中学教育集团,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
新乡市实验小学教育集团,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
新乡市育才小学教育集团,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
新乡市高新区道清路小学教育集团,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
卫辉市第一完全小学教育集团,基础教育,河南省，新乡市,,,,当地教育厅或政府公告,,,
博爱县松林小学教育集团,基础教育,河南省，焦作市,,,,当地教育厅或政府公告,,,
焦作市东环小学教育集团,基础教育,河南省，焦作市,,,,当地教育厅或政府公告,,,
沁阳市第一小学教育集团,基础教育,河南省，焦作市,,,,当地教育厅或政府公告,,,
清丰县明月湖小学教育集团,基础教育,河南省，濮阳市,,,,当地教育厅或政府公告,,,
濮阳市实验小学教育集团,基础教育,河南省，濮阳市,,,,当地教育厅或政府公告,,,
濮阳市昆吾小学教育集团,基础教育,河南省，濮阳市,,,,当地教育厅或政府公告,,,
许昌市文化街学校教育集团,基础教育,河南省，许昌市,,,,当地教育厅或政府公告,,,
许昌市古槐教育集团,基础教育,河南省，许昌市,,,,当地教育厅或政府公告,,,
许昌市学府街小学教育集团,基础教育,河南省，许昌市,,,,当地教育厅或政府公告,,,
许昌市第一中学教育集团,基础教育,河南省，许昌市,,,,当地教育厅或政府公告,,,
禹州市夏都学校教育集团,基础教育,河南省，许昌市,,,,当地教育厅或政府公告,,,
漯河市实验中学教育集团,基础教育,河南省，漯河市,,,,当地教育厅或政府公告,,,
漯河市实验小学教育集团,基础教育,河南省，漯河市,,,,当地教育厅或政府公告,,,
漯河小学教育集团,基础教育,河南省，漯河市,,,,当地教育厅或政府公告,,,
漯河市源汇区许慎小学教育集团,基础教育,河南省，漯河市,,,,当地教育厅或政府公告,,,
漯河市郾城区郾城中学教育集团,基础教育,河南省，漯河市,,,,当地教育厅或政府公告,,,
漯河市郾城区第二实验小学教育集团,基础教育,河南省，漯河市,,,,当地教育厅或政府公告,,,
三门峡市外国语中学教育集团,基础教育,河南省，三门峡市,,,,当地教育厅或政府公告,,,
灵宝市第四小学教育联盟,基础教育,河南省，三门峡市,,,,当地教育厅或政府公告,,,
南阳市第十五小学校教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
南阳市油田实验小学教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
南阳市第十三中学校教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
南阳市第三中学教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
淅川县小学教育第一集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
南阳市第二十一学校教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
内乡县北城区初中教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
南阳市第十二小学校教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
南阳市第十四小学校教育集团,基础教育,河南省，南阳市,,,,当地教育厅或政府公告,,,
商丘市前进小学教育集团,基础教育,河南省，商丘市,,,,当地教育厅或政府公告,,,
商丘市第一实验小学教育集团,基础教育,河南省，商丘市,,,,当地教育厅或政府公告,,,
商丘市文化路小学教育集团,基础教育,河南省，商丘市,,,,当地教育厅或政府公告,,,
夏邑县第二初级中学教育集团,基础教育,河南省，商丘市,,,,当地教育厅或政府公告,,,
柘城县实验小学教育集团,基础教育,河南省，商丘市,,,,当地教育厅或政府公告,,,
商丘市第一回民小学教育集团,基础教育,河南省，商丘市,,,,当地教育厅或政府公告,,,
信阳市胜利路学校教育集团,基础教育,河南省，信阳市,,,,当地教育厅或政府公告,,,
信阳市河中学教育集团,基础教育,河南省，信阳市,,,,当地教育厅或政府公告,,,
新县首府实验学校教育集团,基础教育,河南省，信阳市,,,,当地教育厅或政府公告,,,
扶沟县实验小学教育集团,基础教育,河南省，周口市,,,,当地教育厅或政府公告,,,
沈丘县新区实验小学教育集团,基础教育,河南省，周口市,,,,当地教育厅或政府公告,,,
西华县实验小学教育集团,基础教育,河南省，周口市,,,,当地教育厅或政府公告,,,
项城市第二初级中学教育集团,基础教育,河南省，周口市,,,,当地教育厅或政府公告,,,
驻马店市第四中学教育集团,基础教育,河南省，驻马店市,,,,当地教育厅或政府公告,,,
驻马店实验小学教育集团,基础教育,河南省，驻马店市,,,,当地教育厅或政府公告,,,
驻马店市第十中学教育集团,基础教育,河南省，驻马店市,,,,当地教育厅或政府公告,,,
济源市济水一中教育集团,基础教育,河南省，济源示范区,,,,当地教育厅或政府公告,,,
巩义市子美小学教育集团,基础教育,河南省，巩义市,,,,当地教育厅或政府公告,,,
兰考县兰阳街道第一小学教育集团,基础教育,河南省，兰考县,,,,当地教育厅或政府公告,,,
汝州市实验小学教育集团,基础教育,河南省，汝州市,,,,当地教育厅或政府公告,,,
长垣市第一初级中学教育集团,基础教育,河南省，长垣市,,,,当地教育厅或政府公告,,,
邓州市花洲实验小学教育集团,基础教育,河南省，邓州市,,,,当地教育厅或政府公告,,,
河南省第二实验中学教育集团,基础教育,河南省，厅直属实验学校,,,,当地教育厅或政府公告,,,
河南省实验小学教育集团,基础教育,河南省，厅直属实验学校,,,,当地教育厅或政府公告,,,
河南师范大学附属中学教育集团,基础教育,河南省，厅直属实验学校,,,,当地教育厅或政府公告,,,
